日付,【得意先】,伝票番号,商品名,数量,単位,単価,金額,粗利
2020-07-03,三機工業　株式会社　（多摩川/尾久）,371421,運搬費（4ｔｄ）,1 ,台,25000 ,27500 ,38500 
2020-07-10,三機工業　株式会社　（多摩川/尾久）,371720,運搬費（4ｔﾕﾆｯｸ）,1 ,台,35000 ,38500 ,27500 
2020-07-10,三機工業　株式会社　（多摩川/尾久）,371721,運搬費（4ｔｃ）,1 ,台,25000 ,27500 ,27500 
2020-07-10,三機工業　株式会社　（多摩川/尾久）,372151,運搬費（4ｔｄ）,1 ,台,25000 ,27500 ,38500 
2020-07-10,三機工業　株式会社　（多摩川/尾久）,372157,運搬費（4ｔｄ）,1 ,台,25000 ,27500 ,27500 
2020-07-31,三機工業　株式会社　（多摩川/尾久）,374396,運搬費（4ｔｃ）,1 ,台,25000 ,27500 ,27500 
2020-07-31,三機工業　株式会社　（多摩川/尾久）,374445,運搬費（4ｔﾕﾆｯｸ）,1 ,台,35000 ,38500 ,27500 
2020-07-31,三機工業　株式会社　（多摩川/尾久）,374656,運搬費（4ｔｄ）,1 ,台,25000 ,27500 ,27500 
2020-07-31,三機工業　株式会社　（多摩川/尾久）,374684,運搬費（4ｔｄ）,1 ,台,25000 ,27500 ,38500 
2020-07-31,三機工業　株式会社　（多摩川/尾久）,374689,運搬費（4ｔｄ）,1 ,台,25000 ,27500 ,27500 
2020-08-06,三機工業　株式会社　（多摩川/尾久）,375374,運搬費（4ｔﾕﾆｯｸ）,1 ,台,35000 ,38500 ,27500 
2020-08-06,三機工業　株式会社　（多摩川/尾久）,376096,運搬費（4ｔｄ）,1 ,台,25000 ,27500 ,27500 
2020-07-16,三機工業　株式会社　（飯能/阿部）,372397,運搬費（4ｔﾕﾆｯｸ）,1 ,台,40000 ,44000 ,38500 
2020-08-06,三機工業　株式会社　（浅川/岩月）,375822,コンテナ設置費,1 ,台,12000 ,13200 ,27500 
2020-08-19,三機工業　株式会社　（浅川/岩月）,377031,コンテナ設置費,1 ,台,12000 ,13200 ,44000 
2020-09-16,三機工業　株式会社　（浅川/岩月）,380452,運搬費（4ｔｃ）,1 ,台,27000 ,29700 ,13200 
2020-09-16,三機工業　株式会社　（浅川/岩月）,380454,運搬費（4ｔｃ）,1 ,台,27000 ,29700 ,13200 
2020-08-18,三機工業　株式会社　（南プラ/橘）,377036,コンテナ設置費,3 ,台,12000 ,39600 ,29700 
2020-09-02,三機工業　株式会社　（南プラ/橘）,378974,運搬費（4ｔｃ）,1 ,台,21000 ,23100 ,29700 
2020-11-13,三機工業　株式会社　（新河岸/赤城）,388202,混合廃棄物,4 ,m3,10000 ,44000 ,39600 
2020-10-06,三機工業　株式会社　（新河岸/赤城）,383603,廃油,64 ,L,150 ,10560 ,23100 
2020-10-09,三機工業　株式会社　（新河岸/赤城）,383268,混合廃棄物,5 ,m3,10000 ,55000 ,44000 
2020-10-09,三機工業　株式会社　（新河岸/赤城）,383276,混合廃棄物,8 ,m3,10000 ,88000 ,10560 
2020-10-09,三機工業　株式会社　（新河岸/赤城）,383538,廃塗料,100 ,kg,250 ,27500 ,55000 
2020-10-09,三機工業　株式会社　（新河岸/赤城）,383614,特別管理産業廃棄物（シンナー）1Ｌ缶,5 ,缶,1200 ,6600 ,88000 
2020-10-09,三機工業　株式会社　（新河岸/赤城）,383614,特別管理産業廃棄物（シンナー）4Ｌ缶,2 ,缶,2400 ,5280 ,27500 
